aro_call	drug_class	resistance_mechanism	amr_gene_family
vanT gene in vanG cluster	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
tetB(P)	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
vanH gene in vanO cluster	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster
vanG	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase
vanY gene in vanB cluster	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster
tet(W)	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
vanW gene in vanI cluster	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster
Campylobacter coli chloramphenicol acetyltransferase	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
vanY gene in vanA cluster	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster
tet(36)	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
vanY gene in vanF cluster	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster
vanW gene in vanG cluster	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster
ErmQ	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
vanW gene in vanB cluster	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster
nimG	nitroimidazole antibiotic	antibiotic inactivation	nitroimidazole reductase
adeF	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
vanY gene in vanM cluster	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster
SAT-4	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)
