dereplicated_mag_id	strand	group	participant	is_coassembly	date	gtdb_taxonomy	phylum
coassembly_1_1	coassembly	mh_p110	p110	TRUE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatocola;s__Scatocola faecipullorum	Pseudomonadota
coassembly_1_1	coassembly	mh_p125	p125	TRUE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatocola;s__Scatocola faecipullorum	Pseudomonadota
coassembly_1_1	coassembly	mh_p292	p292	TRUE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatocola;s__Scatocola faecipullorum	Pseudomonadota
coassembly_1_1	coassembly	mh_p728	p728	TRUE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatocola;s__Scatocola faecipullorum	Pseudomonadota
coassembly_2_0	coassembly	mh_p523	p523	TRUE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAZU01;s__CAZU01 sp000432275	Pseudomonadota
coassembly_3_0	coassembly	mh_p789	p789	TRUE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatacola_A;s__Scatacola_A faecigallinarum	Pseudomonadota
coassembly_4_1	coassembly	mh_p728	p728	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	Bacillota
coassembly_4_1	coassembly	mh_p894	p894	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	Bacillota
coassembly_5_0	coassembly	mh_p125	p125	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus rhamnosus	Bacillota
coassembly_6_1	coassembly	mh_p341	p341	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera massiliensis	Bacillota
coassembly_6_1	coassembly	mh_p550	p550	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera massiliensis	Bacillota
coassembly_6_1	coassembly	mh_p860	p860	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera massiliensis	Bacillota
coassembly_7_0	coassembly	mh_p341	p341	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus paragasseri	Bacillota
coassembly_8_1	coassembly	mh_p110	p110	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	Bacillota
coassembly_8_1	coassembly	mh_p292	p292	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	Bacillota
coassembly_8_2	coassembly	mh_p523	p523	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	Bacillota
coassembly_8_3	coassembly	mh_p470	p470	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	Bacillota
coassembly_8_4	coassembly	mh_p894	p894	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	Bacillota
coassembly_8_5	coassembly	mh_p644	p644	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	Bacillota
coassembly_8_5	coassembly	mh_p722	p722	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	Bacillota
coassembly_8_5	coassembly	mh_p813	p813	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	Bacillota
coassembly_8_6	coassembly	mh_p550	p550	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	Bacillota
coassembly_9_0	coassembly	mh_p813	p813	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister succinatiphilus	Bacillota
coassembly_10_0	coassembly	mh_p860	p860	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister hominis	Bacillota
coassembly_11_0	coassembly	mh_p110	p110	TRUE	NA	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio legallii	Desulfobacterota
