participant	group_i	group_j	days_between	shared_clusters	n_clusters_i	n_clusters_j	jaccard
p110	spaS222	spaS223	14	3877	25088	31244	0.07391097130874083
p110	spaS222	spaS30	124	2403	25088	36546	0.04056997180530465
p110	spaS222	spaS37	138	2097	25088	30892	0.03891765491899115
p110	spaS223	spaS30	110	2616	31244	36546	0.040138705618805046
p110	spaS223	spaS37	124	2209	31244	30892	0.03686151484305906
p110	spaS30	spaS37	14	3803	36546	30892	0.05976270920091145
p125	spaS102	spaS104	7	3397	16658	14515	0.12229982718894009
p125	spaS102	spaS15	371	829	16658	22859	0.021427832919768405
p125	spaS102	spaS19	357	966	16658	21792	0.025770995624799915
p125	spaS102	spaS22	350	910	16658	13676	0.030927134312126157
p125	spaS102	spaS40	322	688	16658	14960	0.022243776268994504
p125	spaS102	spaS44	315	848	16658	20311	0.02347664793333518
p125	spaS102	spaS51	280	884	16658	12969	0.03075531433740389
p125	spaS102	spaS74	189	1497	16658	19270	0.043478260869565216
p125	spaS104	spaS15	378	737	14515	22859	0.02011627589595218
p125	spaS104	spaS19	364	897	14515	21792	0.025331827167466816
p125	spaS104	spaS22	357	839	14515	13676	0.030674173735010236
p125	spaS104	spaS40	329	693	14515	14960	0.02407754846779237
p125	spaS104	spaS44	322	854	14515	20311	0.02513834922877664
p125	spaS104	spaS51	287	853	14515	12969	0.03203034058052645
p125	spaS104	spaS74	196	1339	14515	19270	0.04126856931516982
p125	spaS15	spaS19	14	2091	22859	21792	0.04913063909774436
p125	spaS15	spaS22	21	1136	22859	13676	0.03209130201418119
p125	spaS15	spaS40	49	1470	22859	14960	0.04044127761423973
p125	spaS15	spaS44	56	2172	22859	20311	0.05297819405824675
p125	spaS15	spaS51	91	1613	22859	12969	0.047143065906766035
p125	spaS15	spaS74	182	1307	22859	19270	0.032017049630101414
p125	spaS19	spaS22	7	1450	21792	13676	0.042624492915515316
p125	spaS19	spaS40	35	1410	21792	14960	0.03989587459679701
p125	spaS19	spaS44	42	2103	21792	20311	0.052575
p125	spaS19	spaS51	77	1734	21792	12969	0.05250249795621764
p125	spaS19	spaS74	168	1701	21792	19270	0.04321536546327583
p125	spaS22	spaS40	28	1685	13676	14960	0.06252087121071574
p125	spaS22	spaS44	35	1305	13676	20311	0.03993023682761153
p125	spaS22	spaS51	70	1540	13676	12969	0.061342362079267077
p125	spaS22	spaS74	161	1222	13676	19270	0.03851973269448997
p125	spaS40	spaS44	7	1574	14960	20311	0.04671038964893017
p125	spaS40	spaS51	42	1599	14960	12969	0.060729206228636534
p125	spaS40	spaS74	133	1177	14960	19270	0.03560947569055759
p125	spaS44	spaS51	35	1985	20311	12969	0.06342866272567503
p125	spaS44	spaS74	126	2294	20311	19270	0.061522782739292514
p125	spaS51	spaS74	91	1280	12969	19270	0.04134500468361381
p142	spaS257	spaS258	15	7764	46182	47410	0.09045998974693573
p142	spaS257	spaS259	43	5604	46182	40215	0.0693624447662545
p142	spaS257	spaS267	85	3534	46182	43692	0.040931202223766505
p142	spaS257	spaS268	120	4395	46182	51955	0.046884000768065544
p142	spaS257	spaS269	127	5368	46182	46366	0.061573755448497365
p142	spaS257	spaS282	197	3852	46182	40242	0.046650196192413895
