participant	group_i	group_j	days_between	shared_clusters	n_clusters_i	n_clusters_j	jaccard
p110	spaS222	spaS223	14	120193	152649	149779	0.6595494828106566
p110	spaS222	spaS30	124	106309	152649	185181	0.4591764893897314
p110	spaS222	spaS37	138	91685	152649	170158	0.3966952518583259
p110	spaS223	spaS30	110	108296	149779	185181	0.4777820915540183
p110	spaS223	spaS37	124	91336	149779	170158	0.39954330908438723
p110	spaS30	spaS37	14	126237	185181	170158	0.5510078480327539
p125	spaS102	spaS104	7	84528	104919	102857	0.685836687005063
p125	spaS102	spaS15	371	37757	104919	95595	0.2319838778055629
p125	spaS102	spaS19	357	40447	104919	136688	0.2010688009544641
p125	spaS102	spaS22	350	39292	104919	65727	0.29913059366292616
p125	spaS102	spaS40	322	38015	104919	71920	0.27383593614936896
p125	spaS102	spaS44	315	40278	104919	99956	0.24470676865313462
p125	spaS102	spaS51	280	40026	104919	68769	0.29945683889213087
p125	spaS102	spaS74	189	53077	104919	117342	0.3137235199546056
p125	spaS104	spaS15	378	35394	102857	95595	0.21706386684492635
p125	spaS104	spaS19	364	37424	102857	136688	0.18515641620613396
p125	spaS104	spaS22	357	37611	102857	65727	0.28716605712627796
p125	spaS104	spaS40	329	35304	102857	71920	0.2531242606095804
p125	spaS104	spaS44	322	40574	102857	99956	0.250087833381616
p125	spaS104	spaS51	287	38597	102857	68769	0.2901397439656015
p125	spaS104	spaS74	196	53629	102857	117342	0.321960737227592
p125	spaS15	spaS19	14	75251	95595	136688	0.4792080595037954
p125	spaS15	spaS22	21	45567	95595	65727	0.393650382272904
p125	spaS15	spaS40	49	52247	95595	71920	0.45326543359822324
p125	spaS15	spaS44	56	70641	95595	99956	0.56553518533344
p125	spaS15	spaS51	91	51008	95595	68769	0.44998059211687075
p125	spaS15	spaS74	182	66685	95595	117342	0.4559595766211744
p125	spaS19	spaS22	7	49721	136688	65727	0.3256251064219943
p125	spaS19	spaS40	35	53740	136688	71920	0.34700519151793785
p125	spaS19	spaS44	42	79183	136688	99956	0.5028737274626733
p125	spaS19	spaS51	77	55893	136688	68769	0.373706239469391
p125	spaS19	spaS74	168	76213	136688	117342	0.4286035643386178
p125	spaS22	spaS40	28	49551	65727	71920	0.562465946240465
p125	spaS22	spaS44	35	49779	65727	99956	0.4294847459966869
p125	spaS22	spaS51	70	49844	65727	68769	0.5888106601143506
p125	spaS22	spaS74	161	47160	65727	117342	0.3469968876233362
p125	spaS40	spaS44	7	54872	71920	99956	0.4689754196437729
p125	spaS40	spaS51	42	53103	71920	68769	0.6062955266823465
p125	spaS40	spaS74	133	50126	71920	117342	0.3602662143514259
p125	spaS44	spaS51	35	57053	99956	68769	0.5108979869618168
p125	spaS44	spaS74	126	78863	99956	117342	0.5696752988767292
