amr_gene	aro_call	group	participant	is_coassembly	date
spaS276___117568	vanT gene in vanG cluster	spaS83	p431	False	2023-08-29
spaS276___117568	vanT gene in vanG cluster	spaS262	p341	False	2024-11-12
spaS276___117568	vanT gene in vanG cluster	spaS281	p654	False	2025-03-25
spaS276___117568	vanT gene in vanG cluster	mh_p292	p292	True	
spaS276___117568	vanT gene in vanG cluster	spaS258	p142	False	2024-11-05
spaS276___117568	vanT gene in vanG cluster	spaS78	p431	False	2023-05-16
spaS276___117568	vanT gene in vanG cluster	spaS158	p431	False	2024-03-26
spaS276___117568	vanT gene in vanG cluster	spaS264	p584	False	2024-11-05
spaS276___117568	vanT gene in vanG cluster	mh_p728	p728	True	
spaS276___117568	vanT gene in vanG cluster	spaS72	p813	False	2023-04-04
spaS276___117568	vanT gene in vanG cluster	spaS127	p431	False	2024-01-16
spaS276___117568	vanT gene in vanG cluster	mh_p470	p470	True	
spaS276___117568	vanT gene in vanG cluster	mh_p860	p860	True	
spaS276___117568	vanT gene in vanG cluster	spaS37	p110	False	2022-12-06
spaS276___117568	vanT gene in vanG cluster	spaS142	p431	False	2024-02-27
spaS276___117568	vanT gene in vanG cluster	spaS211	p431	False	2025-01-14
spaS276___117568	vanT gene in vanG cluster	mh_p110	p110	True	
spaS276___117568	vanT gene in vanG cluster	spaS59	p813	False	2023-02-07
spaS276___117568	vanT gene in vanG cluster	spaS282	p142	False	2025-05-06
spaS276___117568	vanT gene in vanG cluster	spaS26	p431	False	2022-11-15
spaS276___117568	vanT gene in vanG cluster	spaS174	p813	False	2024-05-14
spaS276___117568	vanT gene in vanG cluster	spaS268	p142	False	2025-02-18
spaS276___117568	vanT gene in vanG cluster	spaS276	p584	False	2025-01-21
spaS276___117568	vanT gene in vanG cluster	spaS30	p110	False	2022-11-22
spaS276___117568	vanT gene in vanG cluster	spaS123	p431	False	2023-12-19
spaS276___117568	vanT gene in vanG cluster	spaS57	p813	False	2023-01-24
spaS276___117568	vanT gene in vanG cluster	mh_p584	p584	True	
spaS276___117568	vanT gene in vanG cluster	mh_p601	p601	True	
spaS276___117568	vanT gene in vanG cluster	spaS243	p431	False	2023-05-30
spaS276___117568	vanT gene in vanG cluster	spaS148	p729	False	2024-03-05
spaS276___117568	vanT gene in vanG cluster	spaS137	p728	False	2024-01-30
spaS276___117568	vanT gene in vanG cluster	spaS71	p813	False	2023-03-28
spaS276___117568	vanT gene in vanG cluster	spaS256	p550	False	2022-09-06
spaS276___117568	vanT gene in vanG cluster	spaS263	p341	False	2024-11-26
spaS276___117568	vanT gene in vanG cluster	spaS202	p373	False	2024-09-24
spaS276___117568	vanT gene in vanG cluster	spaS272	p341	False	2025-02-11
spaS276___117568	vanT gene in vanG cluster	spaS207	p373	False	2024-10-15
spaS276___117568	vanT gene in vanG cluster	spaS266	p584	False	2024-12-03
spaS276___117568	vanT gene in vanG cluster	spaS140	p601	False	2024-02-20
spaS276___117568	vanT gene in vanG cluster	spaS199	p860	False	2024-08-20
spaS276___117568	vanT gene in vanG cluster	spaS277	p584	False	2025-02-18
spaS276___117568	vanT gene in vanG cluster	spaS170	p860	False	2024-05-07
spaS276___117568	vanT gene in vanG cluster	spaS210	p431	False	2024-11-05
spaS276___117568	vanT gene in vanG cluster	mh_p523	p523	True	
spaS276___117568	vanT gene in vanG cluster	spaS198	p728	False	2024-08-20
spaS276___117568	vanT gene in vanG cluster	mh_p97	p97	True	
spaS276___117568	vanT gene in vanG cluster	spaS2	p431	False	2023-04-11
spaS276___117568	vanT gene in vanG cluster	spaS252	p97	False	2022-09-06
spaS276___117568	vanT gene in vanG cluster	spaS96	p431	False	2023-10-10
spaS276___117568	vanT gene in vanG cluster	spaS156	p431	False	2024-03-19
spaS276___117568	vanT gene in vanG cluster	spaS205	p373	False	2024-10-01
spaS276___117568	vanT gene in vanG cluster	spaS65	p431	False	2023-02-28
spaS276___117568	vanT gene in vanG cluster	spaS23	p292	False	2022-11-08
spaS276___117568	vanT gene in vanG cluster	spaS52	p523	False	2023-01-17
spaS276___117568	vanT gene in vanG cluster	spaS257	p142	False	2024-10-21
spaS276___117568	vanT gene in vanG cluster	spaS221	p729	False	2025-05-27
spaS276___117568	vanT gene in vanG cluster	spaS14	p470	False	2022-10-11
spaS276___117568	vanT gene in vanG cluster	spaS273	p341	False	2025-03-11
spaS276___117568	vanT gene in vanG cluster	mh_p722	p722	True	
spaS276___117568	vanT gene in vanG cluster	spaS92	p722	False	2023-10-03
spaS276___117568	vanT gene in vanG cluster	spaS220	p860	False	2025-05-20
spaS276___117568	vanT gene in vanG cluster	spaS183	p729	False	2024-05-28
spaS276___117568	vanT gene in vanG cluster	spaS233	p431	False	2022-08-23
spaS276___117568	vanT gene in vanG cluster	spaS192	p722	False	2024-07-02
spaS276___117568	vanT gene in vanG cluster	spaS237	p523	False	2022-08-30
spaS276___117568	vanT gene in vanG cluster	mh_p341	p341	True	
spaS276___117568	vanT gene in vanG cluster	mh_p813	p813	True	
spaS276___117568	vanT gene in vanG cluster	mh_p894	p894	True	
spaS276___117568	vanT gene in vanG cluster	spaS209	p373	False	2024-11-05
