participant	coassembly_group	tier	unique_count	total_count	unique_pct
p110	mh_p110	contigs	21912	50096	43.7
p110	mh_p110	orfs	41016	314810	13
p125	mh_p125	contigs	23848	46024	51.8
p125	mh_p125	orfs	38443	294438	13.1
p292	mh_p292	contigs	37813	75275	50.2
p292	mh_p292	orfs	54179	449018	12.1
p341	mh_p341	contigs	22937	54307	42.2
p341	mh_p341	orfs	32199	310629	10.4
p398	mh_p398	contigs	18049	38611	46.7
p398	mh_p398	orfs	25882	244843	10.6
p408	mh_p408	contigs	19466	34197	56.9
p408	mh_p408	orfs	35602	230727	15.4
p470	mh_p470	contigs	24534	47858	51.3
p470	mh_p470	orfs	26669	277394	9.6
p523	mh_p523	contigs	35775	69642	51.4
p523	mh_p523	orfs	70496	435748	16.2
p550	mh_p550	contigs	19719	48151	41
p550	mh_p550	orfs	21919	285549	7.7
p584	mh_p584	contigs	20781	41279	50.3
p584	mh_p584	orfs	24192	261858	9.2
p601	mh_p601	contigs	29515	58421	50.5
p601	mh_p601	orfs	55516	388945	14.3
p644	mh_p644	contigs	21409	41788	51.2
p644	mh_p644	orfs	39592	300940	13.2
p722	mh_p722	contigs	26319	62599	42
p722	mh_p722	orfs	31455	368056	8.5
p728	mh_p728	contigs	17386	39698	43.8
p728	mh_p728	orfs	17041	303608	5.6
p789	mh_p789	contigs	54785	118983	46
p789	mh_p789	orfs	86471	667264	13
p813	mh_p813	contigs	64633	121956	53
p813	mh_p813	orfs	98068	695499	14.1
p860	mh_p860	contigs	26820	53968	49.7
p860	mh_p860	orfs	35931	340496	10.6
p894	mh_p894	contigs	23907	54200	44.1
p894	mh_p894	orfs	42204	326022	12.9
p97	mh_p97	contigs	15720	34530	45.5
p97	mh_p97	orfs	25379	256700	9.9
