participant	tier	set	n_clusters
p110	contigs	coassembly_only	21849
p110	contigs	shared	28105
p110	contigs	single_only	82050
p110	orfs	coassembly_only	40494
p110	orfs	shared	252512
p110	orfs	single_only	30702
p125	contigs	coassembly_only	23695
p125	contigs	shared	22033
p125	contigs	single_only	105746
p125	orfs	coassembly_only	37876
p125	orfs	shared	227907
p125	orfs	single_only	41488
p292	contigs	coassembly_only	37581
p292	contigs	shared	37291
p292	contigs	single_only	179989
p292	orfs	coassembly_only	53127
p292	orfs	shared	342004
p292	orfs	single_only	74061
p341	contigs	coassembly_only	22799
p341	contigs	shared	31231
p341	contigs	single_only	110290
p341	orfs	coassembly_only	31691
p341	orfs	shared	247913
p341	orfs	single_only	58405
p398	contigs	coassembly_only	17890
p398	contigs	shared	20443
p398	contigs	single_only	79625
p398	orfs	coassembly_only	25377
p398	orfs	shared	192661
p398	orfs	single_only	29161
p408	contigs	coassembly_only	19344
p408	contigs	shared	14662
p408	contigs	single_only	85935
p408	orfs	coassembly_only	35020
p408	orfs	shared	173508
p408	orfs	single_only	20299
p470	contigs	coassembly_only	24295
p470	contigs	shared	23144
p470	contigs	single_only	161162
p470	orfs	coassembly_only	25914
p470	orfs	shared	214789
p470	orfs	single_only	57699
p523	contigs	coassembly_only	35560
p523	contigs	shared	33705
p523	contigs	single_only	226275
p523	orfs	coassembly_only	69154
p523	orfs	shared	322868
p523	orfs	single_only	52296
p550	contigs	coassembly_only	19404
p550	contigs	shared	28203
p550	contigs	single_only	88387
p550	orfs	coassembly_only	21345
p550	orfs	shared	228551
p550	orfs	single_only	46563
p584	contigs	coassembly_only	20587
p584	contigs	shared	20322
p584	contigs	single_only	76948
p584	orfs	coassembly_only	23464
p584	orfs	shared	205889
p584	orfs	single_only	42267
p601	contigs	coassembly_only	29368
p601	contigs	shared	28764
p601	contigs	single_only	183405
p601	orfs	coassembly_only	54582
p601	orfs	shared	297603
p601	orfs	single_only	45569
p644	contigs	coassembly_only	21337
p644	contigs	shared	20306
p644	contigs	single_only	186123
p644	orfs	coassembly_only	38924
p644	orfs	shared	242466
p644	orfs	single_only	51037
p722	contigs	coassembly_only	26140
p722	contigs	shared	36118
p722	contigs	single_only	80575
p722	orfs	coassembly_only	30694
p722	orfs	shared	301803
p722	orfs	single_only	36179
p728	contigs	coassembly_only	17301
p728	contigs	shared	22215
p728	contigs	single_only	118807
p728	orfs	coassembly_only	16487
p728	orfs	shared	254878
p728	orfs	single_only	46060
p789	contigs	coassembly_only	54522
p789	contigs	shared	64002
p789	contigs	single_only	303941
p789	orfs	coassembly_only	84845
p789	orfs	shared	512731
p789	orfs	single_only	95091
p813	contigs	coassembly_only	64170
p813	contigs	shared	56881
p813	contigs	single_only	619250
p813	orfs	coassembly_only	95944
p813	orfs	shared	501884
p813	orfs	single_only	139006
p860	contigs	coassembly_only	26664
p860	contigs	shared	27039
p860	contigs	single_only	169062
p860	orfs	coassembly_only	35325
p860	orfs	shared	270492
p860	orfs	single_only	55969
p894	contigs	coassembly_only	23746
p894	contigs	shared	30184
p894	contigs	single_only	74356
p894	orfs	coassembly_only	41513
p894	orfs	shared	256532
p894	orfs	single_only	25259
p97	contigs	coassembly_only	15567
p97	contigs	shared	18697
p97	contigs	single_only	108821
p97	orfs	coassembly_only	24802
p97	orfs	shared	206068
p97	orfs	single_only	23728
