n_participants_in_cluster	n_clusters	tier
1	2424701	contigs
2	679391	contigs
3	224040	contigs
4	85473	contigs
5	35428	contigs
6	15928	contigs
7	7696	contigs
8	3862	contigs
9	2040	contigs
10	1142	contigs
11	633	contigs
12	422	contigs
13	223	contigs
14	151	contigs
15	119	contigs
16	67	contigs
17	39	contigs
18	27	contigs
19	18	contigs
20	8	contigs
21	3	contigs
22	11	contigs
23	5	contigs
24	4	contigs
25	1	contigs
1	1446992	orfs
2	343161	orfs
3	182793	orfs
4	114033	orfs
5	75886	orfs
6	58403	orfs
7	45323	orfs
8	39177	orfs
9	29220	orfs
10	28499	orfs
11	21611	orfs
12	23263	orfs
13	18185	orfs
14	17073	orfs
15	18687	orfs
16	16165	orfs
17	17013	orfs
18	16300	orfs
19	10925	orfs
20	10445	orfs
21	9094	orfs
22	13268	orfs
23	11998	orfs
24	14899	orfs
25	12091	orfs
