participant	tier	total_seqs	total_bp	total_clusters	singleton	multi	redundant_count	redundant_pct	redundant_bp_pct
p110	contigs	174051	1008479590	132004	97348	34656	76459	43.9	71.4
p125	contigs	203340	1193739334	151474	115577	35897	87255	42.9	71.9
p142	contigs	316663	1634977864	240051	185890	54161	130124	41.1	68.9
p151	contigs	169169	900535920	143713	123876	19837	44931	26.6	57.6
p292	contigs	336223	1842314083	254861	195038	59823	140481	41.8	70.2
p341	contigs	228937	1385765198	164320	117913	46407	110440	48.2	74.5
p373	contigs	179040	1115452460	142670	115639	27031	63199	35.3	67.8
p398	contigs	158607	1006877448	117958	87928	30030	70211	44.3	72.6
p408	contigs	158291	1035846861	119941	94145	25796	63814	40.3	72.7
p431	contigs	786990	4152528494	543234	395660	147574	390999	49.7	75.5
p470	contigs	277388	1554436445	208601	160179	48422	116516	42.0	70.7
p523	contigs	384468	1962668632	295540	232243	63297	151536	39.4	68.2
p550	contigs	184904	1024552789	135994	98058	37936	86035	46.5	71.7
p584	contigs	157910	975590539	117857	88272	29585	69098	43.8	71.8
p601	contigs	321636	1902159252	241537	184523	57014	136660	42.5	71.6
p644	contigs	291512	1623049169	227766	182979	44787	108301	37.2	69.1
p654	contigs	128904	824175383	102010	83349	18661	45425	35.2	66.9
p722	contigs	193435	1161813930	142833	98887	43946	94118	48.7	74.0
p728	contigs	212925	1538927028	158323	119675	38648	92970	43.7	75.8
p729	contigs	227935	1218213513	179803	143975	35828	83704	36.7	67.7
p789	contigs	559284	2765795478	422465	320155	102310	238157	42.6	68.0
p813	contigs	1063161	5689463225	740301	548784	191517	512875	48.2	74.4
p860	contigs	292785	1734059794	222765	173655	49110	118365	40.4	71.3
p894	contigs	168807	894858422	128286	92540	35746	75848	44.9	72.0
p97	contigs	191613	1292972617	143085	110654	32431	80534	42.0	73.3
p110	orfs	1022879	297352858	323708	68032	255676	953780	93.2	96.0
p125	orfs	1220786	351091825	307271	73284	233987	1146298	93.9	96.0
p142	orfs	1673832	483745036	493324	175561	317763	1495292	89.3	91.7
p151	orfs	923624	265980987	392122	223127	168995	697017	75.5	78.9
p292	orfs	1891875	541789593	469192	117620	351572	1771812	93.7	95.9
p341	orfs	1400430	406498361	338009	82567	255442	1316719	94.0	95.9
p373	orfs	1124585	328274691	346164	133271	212893	990362	88.1	90.6
p398	orfs	1024662	296297103	247199	50272	196927	973324	95.0	96.9
p408	orfs	1044062	305256555	228827	51156	177671	991699	95.0	97.0
p431	orfs	4308969	1225695307	497030	165216	331814	4143135	96.2	97.6
p470	orfs	1588727	458576566	298402	74366	224036	1512649	95.2	96.9
p523	orfs	2027566	579556554	444318	112468	331850	1912271	94.3	96.4
p550	orfs	1047675	301494349	296459	63186	233273	983219	93.8	95.9
p584	orfs	998607	287047381	271620	61125	210495	935626	93.7	95.6
p601	orfs	1945886	561163249	397754	92213	305541	1851748	95.2	97.0
p644	orfs	1675641	478322262	332427	82944	249483	1591351	95.0	96.7
p654	orfs	842257	242955548	238395	93390	145005	748265	88.8	90.5
p722	orfs	1186746	342350950	368676	63428	305248	1121739	94.5	96.9
p728	orfs	1546969	453262883	317425	56087	261338	1489732	96.3	98.0
p729	orfs	1252361	359143729	371642	135492	236150	1115723	89.1	92.0
p789	orfs	2851725	819013227	692667	163962	528705	2684209	94.1	96.3
p813	orfs	5868100	1674990268	736834	200511	536323	5663101	96.5	97.9
p860	orfs	1741929	511665265	361786	82330	279456	1658105	95.2	97.1
p894	orfs	925185	262917253	323304	64166	259138	859624	92.9	95.7
p97	orfs	1286297	382111560	254598	44164	210434	1240961	96.5	98.0
