participant	tier	group	is_coassembly	redundant_count	total_count	redundant_pct	redundant_bp	total_bp	redundant_bp_pct
p110	contigs	mh_p110	True	28184	50096	56.3	251528945	308974220	81.4
p110	contigs	spaS222	False	11250	25122	44.8	120118755	165098114	72.8
p110	contigs	spaS223	False	8599	31297	27.5	89876513	159931457	56.2
p110	contigs	spaS30	False	14593	36599	39.9	129803125	194693070	66.7
p110	contigs	spaS37	False	13833	30937	44.7	128435065	179782729	71.4
p125	contigs	mh_p125	True	22176	46024	48.2	223034019	289674807	77.0
p125	contigs	spaS102	False	6388	16675	38.3	77797681	108558551	71.7
p125	contigs	spaS104	False	8598	14568	59.0	88456025	108712811	81.4
p125	contigs	spaS15	False	7925	22874	34.6	59183110	97958162	60.4
p125	contigs	spaS19	False	10201	21855	46.7	111212469	148616140	74.8
p125	contigs	spaS22	False	4987	13696	36.4	45261166	66367636	68.2
p125	contigs	spaS40	False	5806	14993	38.7	47806730	73376141	65.2
p125	contigs	spaS44	False	6886	20348	33.8	63478029	105598417	60.1
p125	contigs	spaS51	False	5483	12990	42.2	51754116	70376332	73.5
p125	contigs	spaS74	False	8805	19317	45.6	89956074	124500337	72.3
p142	contigs	spaS257	False	19107	46340	41.2	178368227	248688627	71.7
p142	contigs	spaS258	False	18120	47522	38.1	144347640	226587781	63.7
p142	contigs	spaS259	False	16338	40253	40.6	156168361	218315029	71.5
p142	contigs	spaS267	False	15869	43783	36.2	124244667	209724070	59.2
p142	contigs	spaS268	False	22430	52008	43.1	189001629	264544632	71.4
p142	contigs	spaS269	False	20529	46443	44.2	165593146	231860087	71.4
p142	contigs	spaS282	False	17731	40314	44.0	168417781	235257638	71.6
p151	contigs	spaS103	False	1970	4757	41.4	30209196	38117523	79.3
p151	contigs	spaS107	False	2255	4503	50.1	35072985	43379585	80.9
p151	contigs	spaS118	False	6113	18237	33.5	78577244	115350797	68.1
p151	contigs	spaS149	False	7310	21570	33.9	88561359	125204892	70.7
p151	contigs	spaS154	False	5904	21416	27.6	60400063	100576149	60.1
p151	contigs	spaS184	False	9598	31748	30.2	107403031	180908779	59.4
p151	contigs	spaS215	False	8502	57435	14.8	75872339	236988310	32.0
p151	contigs	spaS98	False	3279	9503	34.5	42791859	60009885	71.3
p292	contigs	mh_p292	True	37462	75275	49.8	332084567	436838241	76.0
p292	contigs	spaS12	False	8290	22115	37.5	82947734	124478075	66.6
p292	contigs	spaS130	False	19296	42671	45.2	156860411	230813889	68.0
p292	contigs	spaS20	False	5190	15449	33.6	49177183	77227416	63.7
p292	contigs	spaS225	False	6138	12121	50.6	57288937	73914005	77.5
p292	contigs	spaS228	False	5831	18345	31.8	51278838	79074233	64.8
p292	contigs	spaS23	False	5882	18142	32.4	66202347	102028573	64.9
p292	contigs	spaS232	False	4911	10740	45.7	47227946	65811427	71.8
p292	contigs	spaS39	False	4393	11227	39.1	42982946	61523655	69.9
p292	contigs	spaS49	False	5575	15264	36.5	49566377	75609828	65.6
p292	contigs	spaS55	False	9798	23790	41.2	96098004	135963714	70.7
p292	contigs	spaS7	False	7034	20768	33.9	81461887	116626410	69.8
p292	contigs	spaS97	False	12223	27640	44.2	96825731	140851351	68.7
p292	contigs	spaS99	False	8458	22676	37.3	82513209	121553266	67.9
p341	contigs	mh_p341	True	31370	54307	57.8	239770396	303364392	79.0
p341	contigs	spaS260	False	5702	12346	46.2	57478968	74840875	76.8
p341	contigs	spaS261	False	7790	14632	53.2	71732812	95307898	75.3
p341	contigs	spaS262	False	8326	20076	41.5	69075313	99433655	69.5
p341	contigs	spaS263	False	6988	12708	55.0	70801619	92753149	76.3
p341	contigs	spaS270	False	6844	15128	45.2	76563609	97650131	78.4
p341	contigs	spaS271	False	6707	15480	43.3	74074748	98932039	74.9
p341	contigs	spaS272	False	8350	21556	38.7	101127705	148323635	68.2
p341	contigs	spaS273	False	9011	20296	44.4	92966684	121644397	76.4
p341	contigs	spaS274	False	7064	16547	42.7	81275033	116012561	70.1
p341	contigs	spaS298	False	12288	25861	47.5	98033556	137502466	71.3
p373	contigs	spaS171	False	6425	15825	40.6	74074654	99175165	74.7
p373	contigs	spaS177	False	6632	13912	47.7	74100893	93426800	79.3
p373	contigs	spaS185	False	4307	10387	41.5	65954018	91841822	71.8
p373	contigs	spaS202	False	8863	22488	39.4	103125388	141551299	72.9
p373	contigs	spaS205	False	6273	16609	37.8	93641506	124316894	75.3
p373	contigs	spaS207	False	6787	21778	31.2	83034845	125874135	66.0
p373	contigs	spaS209	False	8209	21585	38.0	96006816	139322521	68.9
p373	contigs	spaS212	False	7008	23701	29.6	75840445	131256146	57.8
p373	contigs	spaS214	False	8695	32755	26.5	90037987	168687678	53.4
p398	contigs	mh_p398	True	20562	38611	53.3	185043047	237235129	78.0
p398	contigs	spaS155	False	5397	11444	47.2	44514198	65854335	67.6
p398	contigs	spaS167	False	4981	15493	32.2	60199043	90173987	66.8
p398	contigs	spaS172	False	4689	13432	34.9	56591370	79780115	70.9
p398	contigs	spaS191	False	5973	15713	38.0	74008700	102583010	72.1
p398	contigs	spaS200	False	5097	13893	36.7	67746478	99920531	67.8
p398	contigs	spaS203	False	7517	15293	49.2	85478463	115477071	74.0
p398	contigs	spaS208	False	9376	19374	48.4	98040420	131917337	74.3
p398	contigs	spaS218	False	6619	15354	43.1	59100421	83935933	70.4
p408	contigs	mh_p408	True	14731	34197	43.1	174646115	226008761	77.3
p408	contigs	spaS109	False	4466	12791	34.9	54121843	77597015	69.7
p408	contigs	spaS114	False	6513	16881	38.6	82069916	114924156	71.4
p408	contigs	spaS119	False	6693	17695	37.8	84301872	126101937	66.9
p408	contigs	spaS126	False	8069	18766	43.0	100187206	130077324	77.0
p408	contigs	spaS135	False	8761	22957	38.2	101201892	142455800	71.0
p408	contigs	spaS141	False	7999	18255	43.8	81809523	111992244	73.0
p408	contigs	spaS150	False	6582	16749	39.3	75219632	106689624	70.5
p431	contigs	spaS10	False	9068	17899	50.7	83942943	107031339	78.4
p431	contigs	spaS100	False	8365	15396	54.3	69794394	87811115	79.5
p431	contigs	spaS110	False	7211	14020	51.4	59327796	76404381	77.6
p431	contigs	spaS115	False	13979	29029	48.2	103624974	142792882	72.6
p431	contigs	spaS123	False	14371	26757	53.7	120873936	158743787	76.1
p431	contigs	spaS127	False	17804	35088	50.7	125677926	167454234	75.1
p431	contigs	spaS142	False	13634	28205	48.3	97541991	139397063	70.0
p431	contigs	spaS156	False	12604	24586	51.3	121214270	153698647	78.9
p431	contigs	spaS158	False	12955	25935	50.0	109720570	143618917	76.4
p431	contigs	spaS16	False	11129	22564	49.3	103329837	135288248	76.4
p431	contigs	spaS186	False	16896	36147	46.7	128641556	169678737	75.8
p431	contigs	spaS2	False	7418	13068	56.8	63012514	78821546	79.9
p431	contigs	spaS204	False	12955	27397	47.3	99838609	137068957	72.8
p431	contigs	spaS210	False	16142	32296	50.0	122658657	168454289	72.8
p431	contigs	spaS211	False	17462	37692	46.3	126369562	178180956	70.9
p431	contigs	spaS226	False	9242	18208	50.8	80724068	100795755	80.1
p431	contigs	spaS229	False	8434	17714	47.6	71956305	93539586	76.9
p431	contigs	spaS233	False	11646	21892	53.2	89479287	115064456	77.8
p431	contigs	spaS236	False	9665	19250	50.2	79508169	101904628	78.0
p431	contigs	spaS238	False	9191	18220	50.4	80756314	102169766	79.0
p431	contigs	spaS242	False	6276	12749	49.2	54451667	69471387	78.4
p431	contigs	spaS243	False	13337	29027	45.9	93992675	133902141	70.2
p431	contigs	spaS244	False	9014	19487	46.3	84698667	115545197	73.3
p431	contigs	spaS26	False	10175	21327	47.7	92511411	120369828	76.9
p431	contigs	spaS3	False	13034	28451	45.8	96780410	139191105	69.5
p431	contigs	spaS65	False	14033	26926	52.1	114475040	146390015	78.2
p431	contigs	spaS66	False	13052	26401	49.4	93430676	126271761	74.0
p431	contigs	spaS70	False	10115	21569	46.9	72080726	98225372	73.4
p431	contigs	spaS77	False	10932	23508	46.5	93554726	127661331	73.3
p431	contigs	spaS78	False	15706	30651	51.2	128655023	167418395	76.8
p431	contigs	spaS81	False	13852	25446	54.4	110761411	142091069	78.0
p431	contigs	spaS83	False	11208	21962	51.0	82693259	108578916	76.2
p431	contigs	spaS96	False	10094	18123	55.7	80139721	99492688	80.5
p470	contigs	mh_p470	True	23324	47858	48.7	199896502	269063527	74.3
p470	contigs	spaS120	False	5246	10345	50.7	48865720	64429456	75.8
p470	contigs	spaS13	False	5037	14540	34.6	55851798	80964390	69.0
p470	contigs	spaS14	False	8697	23180	37.5	72963963	110320742	66.1
p470	contigs	spaS143	False	5315	16502	32.2	51542562	78517017	65.6
p470	contigs	spaS151	False	5642	12132	46.5	56062071	74433156	75.3
p470	contigs	spaS17	False	7836	17897	43.8	68888237	102464889	67.2
p470	contigs	spaS21	False	5997	15830	37.9	58689169	84725082	69.3
p470	contigs	spaS230	False	8303	16350	50.8	85370915	115660141	73.8
p470	contigs	spaS234	False	7364	17612	41.8	71384224	102566963	69.6
p470	contigs	spaS38	False	8331	18224	45.7	74920763	101898077	73.5
p470	contigs	spaS45	False	6305	19149	32.9	55941623	86884352	64.4
p470	contigs	spaS56	False	4340	9853	44.0	35709155	50321695	71.0
p470	contigs	spaS60	False	4697	11115	42.3	58527377	78782371	74.3
p470	contigs	spaS64	False	4824	9152	52.7	51562201	67386701	76.5
p470	contigs	spaS8	False	5258	17649	29.8	52279217	86017886	60.8
p523	contigs	mh_p523	True	33867	69642	48.6	337066292	426719109	79.0
p523	contigs	spaS231	False	16619	42962	38.7	135060891	215162726	62.8
p523	contigs	spaS237	False	11596	36543	31.7	88526289	149636155	59.2
p523	contigs	spaS239	False	9111	28582	31.9	71205270	116858149	60.9
p523	contigs	spaS245	False	8905	19727	45.1	72009505	98239124	73.3
p523	contigs	spaS32	False	15024	41758	36.0	133231735	212399126	62.7
p523	contigs	spaS5	False	16365	38527	42.5	145793485	215260128	67.7
p523	contigs	spaS50	False	12344	35574	34.7	110592758	172135409	64.2
p523	contigs	spaS52	False	17954	43273	41.5	149802215	220395563	68.0
p523	contigs	spaS67	False	9751	27880	35.0	94661008	135863143	69.7
p550	contigs	mh_p550	True	28432	48151	59.0	218984182	278352998	78.7
p550	contigs	spaS254	False	14631	26326	55.6	134648346	166894591	80.7
p550	contigs	spaS255	False	3879	11989	32.4	39995702	62620462	63.9
p550	contigs	spaS256	False	9252	19769	46.8	96729588	136452093	70.9
p550	contigs	spaS33	False	6194	12550	49.4	59535366	74983807	79.4
p550	contigs	spaS47	False	6930	14669	47.2	49671141	73402384	67.7
p550	contigs	spaS53	False	7628	25724	29.7	72366934	122172420	59.2
p550	contigs	spaS58	False	9089	25726	35.3	62833028	109674034	57.3
p584	contigs	mh_p584	True	20498	41279	49.7	193167570	253885269	76.1
p584	contigs	spaS264	False	8217	18360	44.8	82921420	118468125	70.0
p584	contigs	spaS265	False	2752	6547	42.0	17738038	28130263	63.1
p584	contigs	spaS266	False	9047	23758	38.1	111494570	155826833	71.6
p584	contigs	spaS275	False	10090	25158	40.1	89371049	132281958	67.6
p584	contigs	spaS276	False	8538	19292	44.3	97593030	132401978	73.7
p584	contigs	spaS277	False	9956	23516	42.3	108340047	154596113	70.1
p601	contigs	mh_p601	True	28906	58421	49.5	296480182	380998204	77.8
p601	contigs	spaS108	False	7368	16242	45.4	76575018	102552532	74.7
p601	contigs	spaS116	False	5551	13545	41.0	62365258	85000191	73.4
p601	contigs	spaS124	False	6788	16887	40.2	93641495	124327944	75.3
p601	contigs	spaS131	False	5835	15246	38.3	60299000	85437760	70.6
p601	contigs	spaS140	False	9770	25346	38.5	78163262	117688544	66.4
p601	contigs	spaS144	False	7923	21400	37.0	69848416	104563687	66.8
p601	contigs	spaS159	False	7320	16900	43.3	86314672	113391671	76.1
p601	contigs	spaS161	False	9677	23948	40.4	92667471	133423257	69.5
p601	contigs	spaS164	False	8062	19174	42.0	86441701	123163611	70.2
p601	contigs	spaS168	False	9864	22394	44.0	107447325	156934755	68.5
p601	contigs	spaS178	False	10322	26247	39.3	95434203	143568612	66.5
p601	contigs	spaS219	False	11291	22924	49.3	84460644	114842810	73.5
p601	contigs	spaS6	False	7983	22962	34.8	71955901	116265674	61.9
p644	contigs	mh_p644	True	20379	41788	48.8	239308727	298569547	80.2
p644	contigs	spaS101	False	3570	8791	40.6	40609117	57735730	70.3
p644	contigs	spaS105	False	5940	20869	28.5	43176714	77197733	55.9
p644	contigs	spaS112	False	4143	10183	40.7	45640674	64482775	70.8
p644	contigs	spaS145	False	6989	25799	27.1	68906567	123714884	55.7
p644	contigs	spaS152	False	6242	18022	34.6	79705581	119831055	66.5
p644	contigs	spaS173	False	12644	31055	40.7	104358536	156914343	66.5
p644	contigs	spaS179	False	8442	27797	30.4	87146547	132899398	65.6
p644	contigs	spaS182	False	6965	18686	37.3	77848664	112609944	69.1
p644	contigs	spaS246	False	3960	11395	34.8	40353526	58897703	68.5
p644	contigs	spaS80	False	6851	19762	34.7	65495066	95823485	68.3
p644	contigs	spaS84	False	4671	14696	31.8	50340371	75231297	66.9
p644	contigs	spaS86	False	5002	13786	36.3	45836965	69024722	66.4
p644	contigs	spaS87	False	6279	13733	45.7	50480264	68072357	74.2
p644	contigs	spaS94	False	6224	15150	41.1	82725068	112044196	73.8
p654	contigs	spaS278	False	5709	14575	39.2	92518346	121080375	76.4
