module	contig_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings
M00009	co728_000000046424	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942,K01659) (K01681,K27802,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	0.125	False	0.125	False	NA	No enzymes unique to module	NA	K00031	2162	K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614
M00010	co728_000000046424	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942,K01659) (K01681,K27802,K01682) (K00031,K00030)"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00031	2162	K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614
M00740	co728_000000046424	Methylaspartate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K01647,K01659) K27802 K00031 K00261 K19268+K01846 K04835 K19280 K14449 K19281 K19282 K00024"	0.09090909090909091	False	0.09090909090909091	False	NA	No enzymes unique to module	NA	K00031	2162	K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614
M00532	co728_000000046424	Photorespiration	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K01601-K01602) K19269 K11517 K03781 (K14272,K00830,K00827) K00600 K00830 (K15893,K15919) K15918 K00281+K00605+K00382+K02437"	0.1	False	0.1	False	1.0	K03781	1	K03781	2127	None
M00173	co728_000000046424	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172,K03737) ((K01007,K01006) K01595,K01959+K01960,K01958) K00024 (K01676,K01679,K01677+K01678) (K00239+K00240-K00241-K00242) (K01902+K01903) (K00174+K00175-K00177-K00176) K00031 (K27802,K01682) (K15230+K15231)"	0.1	False	0.1	False	NA	No enzymes unique to module	NA	K00031	2162	K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614
M00083	co728_000000046424	Fatty acid biosynthesis, elongation	Pathway modules	Lipid metabolism	Fatty acid metabolism	"K00665,(K00667 K00668),K11533,((K00647,K09458) K00059 (K02372,K01716,K16363) (K00208,K02371,K10780,K00209))"	0.0	False	0.25	False	NA	No enzymes unique to module	NA	K02372,K16363	2207,2207	K02372 is present in multiple modules: M00083/M00572,K16363 is present in multiple modules: M00083/M00866
M00048	co728_000000046424	De novo purine biosynthesis, PRPP + glutamine => IMP	Pathway modules	Nucleotide metabolism	Purine metabolism	"K00764 (K01945,K11787,K11788,K13713) (K00601,K11175,K08289,K11787,K01492) (K01952,(K23269+K23264+K23265),(K23270+K23265)) (K01933,K11787,K11788 (K01587,K11808,K01589 K01588)) (K01923,K01587,K13713) K01756 (K00602,(K01492,K06863 K11176))"	0.125	False	0.125	False	1.0	K01945	1	K01945	2132	None
M00938	co728_000000046424	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	"(K00525+K00526,K10807+K10808) (K00940,K18533) K01520 (K00560,K13998,K03465) K00943"	0.2	False	0.2	False	1.0	K00943	1	K00943	2167	None
M00018	co728_000000046424	Threonine biosynthesis, aspartate => homoserine => threonine	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	"(K00928,K12524,K12525,K12526) K00133 (K00003,K12524,K12525) (K00872,K02204,K02203) K01733"	0.4	False	0.4	False	NA	No enzymes unique to module	NA	K00003,K00928	2219,2220	K00003 is present in multiple modules: M00018/M00017,K00928 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527
M00033	co728_000000046424	Ectoine biosynthesis, aspartate => ectoine	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	"K00928 K00133 K00836 K06718 K06720"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K00928	2220	K00928 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527
