module	contig_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings
M00705	megaS121_000000000329	Multidrug resistance, efflux pump MepA	Signature modules	Gene set	Drug resistance	"K18909 K18908"	1.0	True	1.0	True	1.0	K18908,K18909	1,1	K18908,K18909	1017,1016	None
M00001	megaS121_000000006948	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K24182,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)"	0.1111111111111111	False	0.1111111111111111	False	NA	No enzymes unique to module	NA	K00873	4270	K00873 is present in multiple modules: M00001/M00002
M00002	megaS121_000000006948	Glycolysis, core module involving three-carbon compounds	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K00873	4270	K00873 is present in multiple modules: M00001/M00002
M00004	megaS121_000000006948	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 ((K00616 (K01810,K06859,K15916)),K13810)"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00615,K00615,K01783	4434,4426,4542	K00615 is present in multiple modules: M00004/M00007/M00165/M00611/M00612,K01783 is present in multiple modules: M00004/M00007/M00165
M00007	megaS121_000000006948	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00615 (K00616,K13810) K01783 (K01807,K01808)"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00615,K00615,K01783	4434,4426,4542	K00615 is present in multiple modules: M00004/M00007/M00165/M00611/M00612,K01783 is present in multiple modules: M00004/M00007/M00165
M00632	megaS121_000000006948	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01785 K00849 K00965 K01784"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K01784	4475	K01784 is present in multiple modules: M00632/M01004
M00373	megaS121_000000006948	Ethylmalonyl pathway	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00626 K00023 K17865 K14446 K14447 K14448 K14449 K08691 K14451 K01965+K01966 K05606 K01847"	0.08333333333333333	False	0.08333333333333333	False	1.0	K00023	1	K00023	4165	None
M00165	megaS121_000000006948	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules	Energy metabolism	Carbon fixation	"(K00855,K28462) (K01601-K01602) K00927 (K05298,K00150,K00134) K01803 (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01100,K11532,K01086) (K01807,K01808) K01783"	0.18181818181818182	False	0.18181818181818182	False	NA	No enzymes unique to module	NA	K00615,K00615,K01783	4434,4426,4542	K00615 is present in multiple modules: M00004/M00007/M00165/M00611/M00612,K01783 is present in multiple modules: M00004/M00007/M00165
M00579	megaS121_000000006948	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Pathway modules	Energy metabolism	Carbon fixation	"(K00625,K13788,K15024) K00925"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00925,K15024	4158,4614	K00925 is present in multiple modules: M00579/M00357/M00617/M00618,K15024 is present in multiple modules: M00579/M00618
M00357	megaS121_000000006948	Methanogenesis, acetate => methane	Pathway modules	Energy metabolism	Methane metabolism	"((K00925 K00625),K01895) (K00193+K00197+K00194) (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))"	0.0	False	0.16666666666666666	False	NA	No enzymes unique to module	NA	K00925	4158	K00925 is present in multiple modules: M00579/M00357/M00617/M00618
