cluster_id	source_group	member_id	call	participant
mh_p110___54250	mh_p110	mh_p110___54250	vanY gene in vanA cluster	p110
mh_p110___54250	mh_p110	mh_p110___191066	vanY gene in vanB cluster	p110
mh_p110___54250	spaS37	spaS37___180046	vanY gene in vanB cluster	p110
mh_p110___54250	spaS222	spaS222___13776	vanY gene in vanA cluster	p110
mh_p110___54250	spaS223	spaS223___113610	vanY gene in vanA cluster	p110
mh_p110___130666	mh_p110	mh_p110___130666	vanY gene in vanF cluster	p110
mh_p110___130666	spaS30	spaS30___177792	vanY gene in vanA cluster	p110
mh_p110___130666	spaS222	spaS222___95371	vanY gene in vanF cluster	p110
mh_p110___130666	spaS223	spaS223___108237	vanY gene in vanF cluster	p110
spaS223___141508	spaS223	spaS223___141508	vanY gene in vanG cluster	p110
spaS223___141508	mh_p110	mh_p110___38069	vanY gene in vanB cluster	p110
spaS223___141508	spaS37	spaS37___161359	vanY gene in vanG cluster	p110
spaS30___15794	spaS30	spaS30___15794	tet(W)	p110
spaS30___15794	mh_p110	mh_p110___3044	tet(W)	p110
spaS30___15794	mh_p110	mh_p110___3572	tet(W)	p110
spaS30___15794	mh_p110	mh_p110___88201	tet(O/W)	p110
spaS30___15794	spaS37	spaS37___154867	tet(W)	p110
spaS30___15794	spaS222	spaS222___141604	tet(W)	p110
spaS30___15794	spaS223	spaS223___51118	tet(W)	p110
spaS30___15794	mh_p110	mh_p110___254820	tet(W)	p110
mh_p110___274133	mh_p110	mh_p110___274133	tetB(P)	p110
mh_p110___274133	spaS37	spaS37___124686	tet(Q)	p110
spaS19___108415	spaS19	spaS19___108415	vanXY gene in vanG cluster	p125
spaS19___108415	mh_p125	mh_p125___239967	vanXY gene in vanG cluster	p125
spaS19___108415	spaS15	spaS15___89932	vanXY gene in vanG cluster	p125
spaS19___108415	spaS40	spaS40___46577	vanXY gene in vanG cluster	p125
spaS19___108415	spaS40	spaS40___57743	vanY gene in vanA cluster	p125
spaS19___108415	spaS51	spaS51___39885	vanXY gene in vanG cluster	p125
mh_p125___291164	mh_p125	mh_p125___291164	CfxA2	p125
mh_p125___291164	spaS15	spaS15___30898	CfxA2	p125
mh_p125___291164	spaS19	spaS19___60264	CfxA2	p125
mh_p125___291164	spaS44	spaS44___51636	CfxA2	p125
mh_p125___291164	spaS74	spaS74___77502	CfxA3	p125
spaS74___83659	spaS74	spaS74___83659	vanY gene in vanG cluster	p125
spaS74___83659	mh_p125	mh_p125___173124	vanY gene in vanM cluster	p125
