whole_cohort_id	group	participant	is_coassembly	local_length	local_n_amr_genes	date
spaS300_000000027186	mh_p110	p110	TRUE	5441	0	
mh_p601_000000004520	mh_p110	p110	TRUE	6224	0	
mh_p601_000000004520	spaS30	p110	FALSE	5232	0	2022-11-22
mh_p601_000000004520	spaS37	p110	FALSE	5232	0	2022-12-06
mh_p601_000000004520	spaS223	p110	FALSE	6223	0	2022-08-04
mh_p398_000000005280	mh_p110	p110	TRUE	5932	0	
mh_p398_000000005280	spaS223	p110	FALSE	11899	0	2022-08-04
mh_p110_000000004798	mh_p110	p110	TRUE	1451	1	
mh_p110_000000004867	mh_p110	p110	TRUE	2153	0	
mh_p110_000000004867	spaS222	p110	FALSE	8145	0	2022-07-21
spaS26_000000017728	mh_p110	p110	TRUE	1052	1	
spaS26_000000017728	spaS37	p110	FALSE	1052	1	2022-12-06
mh_p110_000000008657	mh_p110	p110	TRUE	2798	0	
mh_p110_000000008657	spaS223	p110	FALSE	5944	0	2022-08-04
spaS89_000000002896	mh_p110	p110	TRUE	18542	0	
spaS89_000000002896	spaS37	p110	FALSE	16780	0	2022-12-06
spaS89_000000002896	spaS222	p110	FALSE	16780	0	2022-07-21
mh_p110_000000010441	mh_p110	p110	TRUE	1095	0	
mh_p110_000000010441	mh_p110	p110	TRUE	26059	0	
spaS201_000000004250	mh_p110	p110	TRUE	18412	0	
spaS201_000000004250	spaS30	p110	FALSE	17873	0	2022-11-22
spaS201_000000004250	spaS37	p110	FALSE	17871	0	2022-12-06
spaS71_000000030806	mh_p110	p110	TRUE	4801	0	
spaS71_000000030806	spaS223	p110	FALSE	26390	0	2022-08-04
spaS115_000000003042	mh_p110	p110	TRUE	7886	0	
spaS115_000000003042	spaS30	p110	FALSE	7051	0	2022-11-22
spaS115_000000003042	spaS37	p110	FALSE	7048	0	2022-12-06
spaS206_000000003611	mh_p110	p110	TRUE	6730	0	
spaS138_000000014451	mh_p110	p110	TRUE	24629	1	
spaS30_000000005120	mh_p110	p110	TRUE	9536	0	
spaS257_000000008086	mh_p110	p110	TRUE	14206	0	
spaS257_000000008086	spaS37	p110	FALSE	28964	0	2022-12-06
mh_p110_000000013756	mh_p110	p110	TRUE	6285	0	
mh_p110_000000013756	spaS30	p110	FALSE	5534	0	2022-11-22
mh_p110_000000013756	spaS222	p110	FALSE	6285	0	2022-07-21
mh_p110_000000013756	spaS223	p110	FALSE	5534	0	2022-08-04
spaS139_000000017231	mh_p110	p110	TRUE	10047	0	
spaS214_000000009638	mh_p110	p110	TRUE	6494	0	
spaS150_000000001360	mh_p110	p110	TRUE	30959	0	
spaS88_000000025118	mh_p110	p110	TRUE	17220	0	
spaS88_000000025118	spaS222	p110	FALSE	101806	0	2022-07-21
spaS88_000000025118	mh_p110	p110	TRUE	85945	0	
spaS37_000000017779	mh_p110	p110	TRUE	4744	0	
spaS37_000000017779	spaS223	p110	FALSE	5416	0	2022-08-04
spaS253_000000006224	mh_p110	p110	TRUE	2768	0	
spaS253_000000006224	spaS222	p110	FALSE	12645	0	2022-07-21
spaS253_000000006224	mh_p110	p110	TRUE	10517	0	
spaS253_000000006224	spaS223	p110	FALSE	12645	0	2022-08-04
mh_p523_000000133709	mh_p110	p110	TRUE	5123	0	
mh_p523_000000133709	spaS30	p110	FALSE	9290	0	2022-11-22
mh_p110_000000014822	mh_p110	p110	TRUE	9211	0	
spaS148_000000006490	mh_p110	p110	TRUE	23521	0	
spaS148_000000006490	spaS37	p110	FALSE	22896	0	2022-12-06
spaS139_000000026473	mh_p110	p110	TRUE	5389	0	
mh_p860_000000054790	mh_p110	p110	TRUE	9504	0	
mh_p860_000000054790	spaS37	p110	FALSE	9175	0	2022-12-06
spaS30_000000027997	spaS30	p110	FALSE	1249	0	2022-11-22
spaS30_000000027997	mh_p110	p110	TRUE	3757	0	
spaS30_000000027997	spaS37	p110	FALSE	5270	0	2022-12-06
spaS30_000000033264	spaS30	p110	FALSE	1078	0	2022-11-22
spaS30_000000033264	mh_p110	p110	TRUE	10420	0	
spaS30_000000033264	spaS37	p110	FALSE	10314	0	2022-12-06
spaS30_000000033293	spaS30	p110	FALSE	1077	1	2022-11-22
spaS30_000000033293	mh_p110	p110	TRUE	3468	1	
mh_p110_000000102881	mh_p110	p110	TRUE	5688	0	
mh_p110_000000102881	spaS223	p110	FALSE	5061	0	2022-08-04
mh_p110_000000102881	spaS222	p110	FALSE	4080	0	2022-07-21
spaS49_000000014284	mh_p110	p110	TRUE	2404	0	
spaS49_000000014284	spaS223	p110	FALSE	5334	0	2022-08-04
spaS37_000000006043	mh_p110	p110	TRUE	6062	0	
spaS37_000000006043	spaS30	p110	FALSE	7222	0	2022-11-22
mh_p110_000000106540	mh_p110	p110	TRUE	1569	0	
mh_p110_000000106540	spaS223	p110	FALSE	7934	0	2022-08-04
spaS206_000000004732	mh_p110	p110	TRUE	26399	0	
spaS206_000000004732	spaS222	p110	FALSE	25925	0	2022-07-21
spaS122_000000006554	mh_p110	p110	TRUE	8071	0	
