participant	gene_id	aro_call
p110	mh_p110___215959	vanW gene in vanI cluster
p110	mh_p110___90886	vanT gene in vanG cluster
p110	mh_p110___81014	tet(Q)
p110	mh_p110___90950	vanW gene in vanI cluster
p110	mh_p110___91954	vanH gene in vanO cluster
p110	mh_p110___156006	vanW gene in vanI cluster
p110	mh_p110___29350	vanW gene in vanI cluster
p110	mh_p110___197548	vanT gene in vanG cluster
p110	mh_p110___139952	vanW gene in vanI cluster
p110	mh_p110___26883	vanT gene in vanG cluster
p110	mh_p110___129349	vanT gene in vanG cluster
p110	mh_p110___210425	vanY gene in vanB cluster
p110	mh_p110___288899	vanT gene in vanG cluster
p110	mh_p110___277347	vanW gene in vanB cluster
p110	mh_p110___187484	vanY gene in vanG cluster
p110	mh_p110___258934	vanY gene in vanB cluster
p110	mh_p110___133716	vanW gene in vanI cluster
p110	mh_p110___217015	vanY gene in vanG cluster
p110	mh_p110___217807	tet(Q)
p110	mh_p110___137949	vanY gene in vanG cluster
p110	mh_p110___139537	vanH gene in vanO cluster
p110	mh_p110___297183	vanW gene in vanI cluster
p110	mh_p110___248034	vanH gene in vanO cluster
p110	mh_p110___235442	vanW gene in vanB cluster
p110	mh_p110___15981	vanW gene in vanI cluster
p110	mh_p110___136028	vanW gene in vanI cluster
p110	mh_p110___210344	vanW gene in vanI cluster
p110	mh_p110___312425	vanT gene in vanG cluster
p110	mh_p110___276686	vanW gene in vanI cluster
p125	mh_p125___242260	vanW gene in vanI cluster
p125	mh_p125___63476	vanW gene in vanG cluster
p125	mh_p125___236208	vanW gene in vanI cluster
p125	mh_p125___241126	vanY gene in vanG cluster
p125	mh_p125___374	vanW gene in vanI cluster
p125	mh_p125___186446	tet(W/32/O)
p125	mh_p125___205944	vanT gene in vanG cluster
p125	mh_p125___60574	vanY gene in vanB cluster
p125	mh_p125___223706	vanY gene in vanB cluster
p125	mh_p125___223707	vanT gene in vanG cluster
p125	mh_p125___229690	vanT gene in vanG cluster
p125	mh_p125___238155	vanH gene in vanO cluster
p125	mh_p125___252970	vanY gene in vanB cluster
p125	mh_p125___156864	vanW gene in vanI cluster
p125	mh_p125___172200	vanW gene in vanI cluster
p125	mh_p125___190566	vanW gene in vanI cluster
p125	mh_p125___113826	mdeA
p125	mh_p125___210794	vanY gene in vanA cluster
p125	mh_p125___293218	vanT gene in vanG cluster
p125	mh_p125___40770	vanT gene in vanG cluster
p125	mh_p125___37552	vanW gene in vanI cluster
p125	mh_p125___281619	vanW gene in vanI cluster
p125	mh_p125___233565	vanH gene in vanO cluster
p125	mh_p125___95927	vanW gene in vanI cluster
p125	mh_p125___209704	vanT gene in vanG cluster
p125	mh_p125___127792	vanW gene in vanI cluster
p125	mh_p125___186318	vanY gene in vanG cluster
p125	mh_p125___90324	vanW gene in vanI cluster
p125	mh_p125___227833	nimG
p125	mh_p125___162567	vanW gene in vanI cluster
p125	mh_p125___214457	vanW gene in vanI cluster
p292	mh_p292___276894	vanY gene in vanG cluster
p292	mh_p292___298369	FosXCC
p292	mh_p292___428407	vanG
p292	mh_p292___337759	vanW gene in vanI cluster
p292	mh_p292___33918	vanY gene in vanG cluster
p292	mh_p292___319792	vanH gene in vanO cluster
p292	mh_p292___265707	vanY gene in vanM cluster
p292	mh_p292___337066	vanT gene in vanG cluster
p292	mh_p292___142138	vanY gene in vanB cluster
p292	mh_p292___142140	vanT gene in vanG cluster
p292	mh_p292___383067	vanT gene in vanG cluster
p292	mh_p292___47368	vanG
p292	mh_p292___186469	vanT gene in vanG cluster
p292	mh_p292___84633	ErmF
p292	mh_p292___341	vanW gene in vanI cluster
p292	mh_p292___3442	vanW gene in vanI cluster
p292	mh_p292___432055	vanT gene in vanG cluster
p292	mh_p292___353353	vanT gene in vanG cluster
p292	mh_p292___351631	vanW gene in vanI cluster
p292	mh_p292___183778	vanW gene in vanB cluster
p292	mh_p292___415121	vanH gene in vanF cluster
p292	mh_p292___253269	vanY gene in vanB cluster
p292	mh_p292___128401	vanY gene in vanG cluster
p292	mh_p292___164575	vanW gene in vanG cluster
p292	mh_p292___3590	vanY gene in vanG cluster
p292	mh_p292___135072	vanY gene in vanB cluster
p292	mh_p292___355321	vanH gene in vanO cluster
p292	mh_p292___354725	tet(W/N/W)
p292	mh_p292___354728	vanY gene in vanF cluster
p292	mh_p292___430840	vanW gene in vanI cluster
p292	mh_p292___213401	vanW gene in vanI cluster
p292	mh_p292___90524	vanW gene in vanI cluster
p292	mh_p292___419375	vanW gene in vanG cluster
p292	mh_p292___190700	vanY gene in vanB cluster
p292	mh_p292___446223	vanW gene in vanI cluster
p292	mh_p292___427686	vanY gene in vanG cluster
p292	mh_p292___265107	vanW gene in vanI cluster
p292	mh_p292___128802	vanT gene in vanG cluster
p292	mh_p292___435467	vanW gene in vanI cluster
p341	mh_p341___71073	vanH gene in vanB cluster
p341	mh_p341___145546	vanY gene in vanG cluster
p341	mh_p341___282788	vanY gene in vanB cluster
p341	mh_p341___297618	ErmX
p341	mh_p341___274123	vanY gene in vanB cluster
p341	mh_p341___247847	vanXY gene in vanG cluster
p341	mh_p341___78114	vanY gene in vanB cluster
p341	mh_p341___136275	vanY gene in vanG cluster
p341	mh_p341___124291	vanW gene in vanI cluster
p341	mh_p341___160601	qacG
p341	mh_p341___355	vanY gene in vanB cluster
p341	mh_p341___177707	qacJ
p341	mh_p341___106736	poxtA
p341	mh_p341___129469	vanW gene in vanG cluster
p341	mh_p341___250182	vanC
p341	mh_p341___250183	vanXY gene in vanC cluster
p341	mh_p341___250184	vanT gene in vanC cluster
p341	mh_p341___243063	vanW gene in vanI cluster
p341	mh_p341___8424	vanT gene in vanC cluster
p341	mh_p341___287358	vanY gene in vanB cluster
p341	mh_p341___293073	vanW gene in vanI cluster
p398	mh_p398___105667	vanW gene in vanG cluster
p398	mh_p398___235487	vanT gene in vanG cluster
p398	mh_p398___29429	nimG
p398	mh_p398___185791	nimA
p398	mh_p398___187497	vanY gene in vanA cluster
p398	mh_p398___211633	vanW gene in vanI cluster
p398	mh_p398___122157	vanW gene in vanI cluster
p398	mh_p398___204776	tet(32)
p398	mh_p398___185363	vanT gene in vanG cluster
p398	mh_p398___135267	qacG
p398	mh_p398___23777	vanY gene in vanG cluster
p398	mh_p398___71890	vanW gene in vanI cluster
p398	mh_p398___205363	vanT gene in vanG cluster
p398	mh_p398___155163	poxtA
p398	mh_p398___182382	vanG
p398	mh_p398___185918	vanH gene in vanO cluster
p408	mh_p408___96524	vanW gene in vanI cluster
p408	mh_p408___75502	vanT gene in vanG cluster
p408	mh_p408___131254	vanW gene in vanI cluster
p408	mh_p408___105	vanT gene in vanG cluster
p408	mh_p408___159862	nimG
p408	mh_p408___6277	vanW gene in vanI cluster
p408	mh_p408___223049	vanW gene in vanI cluster
p408	mh_p408___110670	vanW gene in vanI cluster
p408	mh_p408___155144	vanW gene in vanI cluster
p408	mh_p408___151049	vanW gene in vanI cluster
p408	mh_p408___176755	patB
p408	mh_p408___192411	vanY gene in vanG cluster
p408	mh_p408___225797	ErmB
p408	mh_p408___217988	tet(M)
p408	mh_p408___29138	vanT gene in vanG cluster
p408	mh_p408___214791	vanW gene in vanI cluster
p408	mh_p408___128656	vanT gene in vanG cluster
p408	mh_p408___186254	vanW gene in vanI cluster
p408	mh_p408___92317	tet(W/N/W)
p408	mh_p408___196454	vanW gene in vanI cluster
p408	mh_p408___202308	vanW gene in vanI cluster
p408	mh_p408___2769	vanT gene in vanG cluster
p408	mh_p408___33816	vanW gene in vanI cluster
p408	mh_p408___33856	vanT gene in vanG cluster
p408	mh_p408___88197	vanW gene in vanI cluster
p408	mh_p408___178416	vanT gene in vanG cluster
p408	mh_p408___180265	vanT gene in vanG cluster
p408	mh_p408___180266	vanXY gene in vanG cluster
p408	mh_p408___190408	vanG
p408	mh_p408___215712	vanXY gene in vanG cluster
p470	mh_p470___275094	fosA5
p470	mh_p470___216164	vanY gene in vanM cluster
p470	mh_p470___38803	vanW gene in vanI cluster
p470	mh_p470___191565	vanY gene in vanG cluster
p470	mh_p470___68413	vanG
p470	mh_p470___141865	vanY gene in vanG cluster
p470	mh_p470___133145	patB
p470	mh_p470___118869	tet(W/N/W)
p470	mh_p470___123045	vanY gene in vanA cluster
p470	mh_p470___104612	vanT gene in vanG cluster
p470	mh_p470___206207	qacG
p470	mh_p470___157315	vanY gene in vanB cluster
p523	mh_p523___423031	tet(M)
p523	mh_p523___416410	vanT gene in vanG cluster
p523	mh_p523___385805	vanY gene in vanF cluster
p523	mh_p523___131741	vanW gene in vanI cluster
p523	mh_p523___142555	vanY gene in vanB cluster
p523	mh_p523___131108	vanY gene in vanM cluster
p523	mh_p523___56265	vanT gene in vanG cluster
p523	mh_p523___363513	vanH gene in vanD cluster
p523	mh_p523___255445	vanW gene in vanG cluster
p523	mh_p523___373152	aadS
p523	mh_p523___72115	vanY gene in vanB cluster
p523	mh_p523___314983	vanY gene in vanB cluster
p523	mh_p523___382887	vanT gene in vanG cluster
p523	mh_p523___300286	vanY gene in vanB cluster
p523	mh_p523___303029	vanW gene in vanB cluster
p523	mh_p523___330393	qacG
p523	mh_p523___340766	tet(Q)
p523	mh_p523___361670	vanW gene in vanI cluster
p523	mh_p523___34805	vanY gene in vanB cluster
p523	mh_p523___38597	vanW gene in vanI cluster
p523	mh_p523___345848	vanW gene in vanB cluster
p523	mh_p523___43453	vanW gene in vanI cluster
p523	mh_p523___233557	qacG
p523	mh_p523___234232	vanW gene in vanI cluster
p523	mh_p523___17991	vanY gene in vanM cluster
p523	mh_p523___105446	vanY gene in vanF cluster
p523	mh_p523___276069	vanT gene in vanG cluster
