cluster_id	member_id	source_group	length	cross_group_cluster
mh_p110_000000000011	mh_p110_000000000011	mh_p110	1751	0
mh_p110_000000000012	mh_p110_000000000012	mh_p110	1195	0
mh_p110_000000000013	mh_p110_000000000013	mh_p110	1166	0
mh_p110_000000000018	mh_p110_000000000018	mh_p110	1908	0
mh_p110_000000000020	mh_p110_000000000020	mh_p110	1697	0
mh_p110_000000000023	mh_p110_000000000023	mh_p110	2214	0
mh_p110_000000000024	mh_p110_000000000024	mh_p110	2790	0
mh_p110_000000000026	mh_p110_000000000026	mh_p110	1345	1
mh_p110_000000000026	spaS37_000000022282	spaS37	1345	1
mh_p110_000000000033	mh_p110_000000000033	mh_p110	2195	0
mh_p110_000000000039	mh_p110_000000000039	mh_p110	1990	0
mh_p110_000000000040	mh_p110_000000000040	mh_p110	4731	0
mh_p110_000000000042	mh_p110_000000000042	mh_p110	1145	0
mh_p110_000000000043	mh_p110_000000000043	mh_p110	2106	0
mh_p110_000000000044	mh_p110_000000000044	mh_p110	2081	0
mh_p110_000000000053	mh_p110_000000000053	mh_p110	1654	0
mh_p110_000000000054	mh_p110_000000000054	mh_p110	5441	0
mh_p110_000000000061	mh_p110_000000000061	mh_p110	2557	0
mh_p110_000000000064	mh_p110_000000000064	mh_p110	2024	0
mh_p110_000000000065	mh_p110_000000000065	mh_p110	2817	0
mh_p110_000000000072	mh_p110_000000000072	mh_p110	1650	0
mh_p110_000000000077	mh_p110_000000000077	mh_p110	1640	0
mh_p110_000000000078	mh_p110_000000000078	mh_p110	5204	0
mh_p110_000000000080	mh_p110_000000000080	mh_p110	1543	0
mh_p110_000000000081	mh_p110_000000000081	mh_p110	1225	0
mh_p110_000000000083	mh_p110_000000000083	mh_p110	1005	1
mh_p110_000000000083	spaS37_000000030773	spaS37	1005	1
mh_p110_000000000086	mh_p110_000000000086	mh_p110	1462	0
mh_p110_000000000090	mh_p110_000000000090	mh_p110	8691	0
mh_p110_000000000096	mh_p110_000000000096	mh_p110	3973	0
mh_p110_000000000098	mh_p110_000000000098	mh_p110	3416	0
mh_p110_000000000105	mh_p110_000000000105	mh_p110	12198	0
mh_p110_000000000107	mh_p110_000000000107	mh_p110	1090	0
mh_p110_000000000116	mh_p110_000000000116	mh_p110	1617	0
mh_p110_000000000117	mh_p110_000000000117	mh_p110	1661	0
mh_p110_000000000119	mh_p110_000000000119	mh_p110	3694	0
mh_p110_000000000121	mh_p110_000000000121	mh_p110	1280	0
mh_p110_000000000125	mh_p110_000000000125	mh_p110	1045	0
mh_p110_000000000130	mh_p110_000000000130	mh_p110	1963	1
mh_p110_000000000130	spaS30_000000018105	spaS30	1831	1
mh_p110_000000000131	mh_p110_000000000131	mh_p110	2087	0
mh_p110_000000000139	mh_p110_000000000139	mh_p110	2242	0
mh_p110_000000000140	mh_p110_000000000140	mh_p110	5805	0
mh_p110_000000000146	mh_p110_000000000146	mh_p110	1042	0
mh_p110_000000000147	mh_p110_000000000147	mh_p110	2006	0
mh_p110_000000000149	mh_p110_000000000149	mh_p110	4698	1
mh_p110_000000000149	spaS222_000000005938	spaS222	4617	1
mh_p110_000000000153	mh_p110_000000000153	mh_p110	1149	0
mh_p110_000000000155	mh_p110_000000000155	mh_p110	1535	0
