amr_gene	aro_call	n_samples
spaS238___16194	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	285
mh_p110___116940	vanH gene in vanB cluster	269
mh_p110___141476	vanT gene in vanG cluster	268
mh_p110___214258	vanG	263
mh_p125___168177	vanT gene in vanG cluster	263
spaS161___62178	tet(Q)	262
mh_p110___114715	vanY gene in vanB cluster	259
mh_p110___93431	vanY gene in vanB cluster	257
mh_p110___112918	tet(O)	255
spaS111___55809	tet(W)	253
mh_p110___262048	vanY gene in vanB cluster	247
mh_p110___81014	tet(Q)	245
mh_p110___113736	vanH gene in vanF cluster	235
mh_p110___76866	adeF	229
mh_p110___227377	vanT gene in vanG cluster	222
mh_p110___43667	adeF	222
mh_p110___71751	vanY gene in vanB cluster	221
mh_p110___135155	Bifidobacterium bifidum ileS conferring resistance to mupirocin	220
spaS104___6900	vanW gene in vanI cluster	220
mh_p110___226328	vanG	218
mh_p110___7218	tet(Q)	218
mh_p110___15939	vanT gene in vanG cluster	214
mh_p470___57982	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	213
mh_p110___126862	Mef(En2)	211
mh_p110___91336	adeF	205
spaS153___157487	vanT gene in vanG cluster	205
spaS256___55515	vanW gene in vanI cluster	200
spaS248___122716	CfxA2	197
spaS52___109797	adeF	197
mh_p110___51065	vanT gene in vanG cluster	190
spaS4___73548	tet(32)	187
spaS198___96198	ErmB	184
mh_p110___260910	vanW gene in vanI cluster	183
mh_p110___302628	vanW gene in vanI cluster	182
mh_p110___308886	vanT gene in vanG cluster	182
mh_p110___18579	vanH gene in vanB cluster	179
mh_p110___57668	vanG	177
mh_p125___65366	vanY gene in vanG cluster	172
mh_p125___143687	vanT gene in vanG cluster	170
mh_p110___73432	APH(3')-IIIa	169
mh_p110___55012	vanW gene in vanI cluster	167
spaS9___65067	vanT gene in vanG cluster	167
spaS105___44246	vanG	166
mh_p110___71469	vanH gene in vanO cluster	164
mh_p125___74067	vanY gene in vanF cluster	164
spaS278___111972	vanT gene in vanG cluster	164
mh_p125___40995	vanY gene in vanB cluster	163
mh_p125___143686	vanY gene in vanB cluster	162
spaS107___28840	tet(40)	162
spaS186___155518	vanXY gene in vanG cluster	162
spaS223___121286	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	158
spaS257___110403	CRP	158
spaS40___51386	vanW gene in vanI cluster	156
mh_p125___183919	vanY gene in vanB cluster	154
mh_p125___44863	vanT gene in vanG cluster	154
spaS59___149846	vanT gene in vanG cluster	154
mh_p110___280892	adeF	153
mh_p110___192904	vanH gene in vanP cluster	152
mh_p125___86453	vanY gene in vanF cluster	151
spaS223___48285	vanT gene in vanG cluster	151
spaS191___104538	emrR	150
mh_p601___83634	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	146
mh_p110___7418	vanT gene in vanG cluster	145
spaS32___9278	vanT gene in vanG cluster	144
spaS223___145593	rsmA	143
mh_p110___208008	adeF	142
mh_p110___86990	vanH gene in vanO cluster	142
mh_p813___244517	cpxA	142
spaS223___89108	adeF	142
mh_p125___135132	vanH gene in vanD cluster	141
mh_p125___18991	vanH gene in vanO cluster	140
spaS149___31911	vanW gene in vanI cluster	139
spaS223___114325	dfrF	138
spaS286___172479	vanU gene in vanG cluster	138
mh_p110___265551	tet(36)	137
mh_p125___259419	adeF	137
spaS103___5343	mdtF	137
spaS103___5634	AcrF	137
spaS149___110516	CblA-1	137
spaS158___85710	vanW gene in vanI cluster	137
spaS268___238243	vanG	136
spaS101___47963	mdtP	135
spaS149___73577	mdtO	134
spaS103___7101	mdtC	132
spaS71___92086	CepA-44	132
mh_p110___110447	adeF	131
spaS257___121651	acrD	131
spaS257___148481	Escherichia coli soxR with mutation conferring antibiotic resistance	131
spaS257___148482	Escherichia coli soxS with mutation conferring antibiotic resistance	131
spaS268___121160	vanW gene in vanI cluster	131
spaS280___29568	vanT gene in vanG cluster	131
mh_p125___18154	vanW gene in vanI cluster	130
mh_p813___591351	vanY gene in vanB cluster	130
mh_p813___66509	mdtN	130
spaS116___56477	baeR	130
spaS257___114456	acrB	130
spaS257___115757	mdtE	130
spaS257___70161	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	129
mh_p110___160576	vanT gene in vanG cluster	128
spaS142___58202	emrA	128
spaS257___126573	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	128
spaS257___118569	AcrE	127
spaS257___123393	ArnT	127
mh_p110___127275	vanT gene in vanG cluster	126
mh_p110___264502	vanY gene in vanB cluster	126
