cluster_id	source_group	member_id	call	participant
spaS30_000000005716	spaS30	spaS30_000000005716	virus	p110
spaS30_000000005716	mh_p110	mh_p110_000000110570	plasmid	p110
spaS30_000000005716	spaS37	spaS37_000000000418	plasmid	p110
spaS30_000000007104	mh_p110	mh_p110_000000016727	virus	p110
spaS30_000000007104	spaS223	spaS223_000000002359	plasmid	p110
spaS30_000000007912	mh_p110	mh_p110_000000055778	plasmid	p110
spaS30_000000007912	spaS37	spaS37_000000003712	virus	p110
spaS222_000000003910	spaS222	spaS222_000000003910	virus	p110
spaS222_000000003910	spaS223	spaS223_000000001895	plasmid	p110
spaS222_000000003910	mh_p110	mh_p110_000000045574	plasmid	p110
spaS37_000000001146	spaS37	spaS37_000000001146	plasmid	p110
spaS37_000000001146	spaS30	spaS30_000000000367	virus	p110
spaS222_000000001544	spaS222	spaS222_000000001544	virus	p110
spaS222_000000001544	spaS37	spaS37_000000000574	plasmid	p110
mh_p110_000000082726	spaS30	spaS30_000000002605	plasmid	p110
mh_p110_000000082726	spaS222	spaS222_000000002816	virus	p110
spaS37_000000001393	mh_p110	mh_p110_000000007426	virus	p110
spaS37_000000001393	spaS30	spaS30_000000000761	plasmid	p110
spaS223_000000004107	spaS223	spaS223_000000004107	plasmid	p110
spaS223_000000004107	spaS222	spaS222_000000004201	plasmid	p110
spaS223_000000004107	mh_p110	mh_p110_000000109128	virus	p110
mh_p110_000000051733	mh_p110	mh_p110_000000051733	virus	p110
mh_p110_000000051733	spaS223	spaS223_000000000320	plasmid	p110
mh_p110_000000051733	spaS222	spaS222_000000000506	plasmid	p110
mh_p110_000000051838	spaS37	spaS37_000000001855	plasmid	p110
mh_p110_000000051838	mh_p110	mh_p110_000000038211	virus	p110
mh_p110_000000051838	spaS222	spaS222_000000001919	plasmid	p110
spaS30_000000005638	spaS30	spaS30_000000005638	plasmid	p110
spaS30_000000005638	spaS37	spaS37_000000002154	virus	p110
mh_p110_000000022969	mh_p110	mh_p110_000000022969	virus	p110
mh_p110_000000022969	spaS223	spaS223_000000001554	plasmid	p110
spaS37_000000002857	mh_p110	mh_p110_000000035028	plasmid	p110
spaS37_000000002857	spaS30	spaS30_000000001814	virus	p110
spaS223_000000008700	mh_p110	mh_p110_000000079182	plasmid	p110
spaS223_000000008700	spaS222	spaS222_000000002230	plasmid	p110
spaS223_000000008700	spaS37	spaS37_000000003901	plasmid	p110
spaS223_000000008700	spaS30	spaS30_000000005010	virus	p110
spaS51_000000002823	mh_p125	mh_p125_000000008994	plasmid	p125
spaS51_000000002823	spaS102	spaS102_000000002933	virus	p125
spaS44_000000003224	spaS44	spaS44_000000003224	virus	p125
spaS44_000000003224	spaS15	spaS15_000000001711	plasmid	p125
spaS104_000000002287	spaS74	spaS74_000000002368	virus	p125
spaS104_000000002287	spaS102	spaS102_000000001540	plasmid	p125
mh_p125_000000048532	mh_p125	mh_p125_000000048532	virus	p125
