whole_cohort_id	is_plasmid	is_virus	has_amr	n_samples	n_participants	length	n_genes	n_amr_genes	n_good_mag	n_binned	mag_status
mh_p110_000000000390	TRUE	TRUE	FALSE	5	2	8335	16	0	0	0	unbinned
mh_p110_000000000844	TRUE	FALSE	FALSE	1	1	7401	5	0	0	0	unbinned
mh_p110_000000001170	FALSE	FALSE	TRUE	1	1	1145	1	1	0	0	unbinned
mh_p110_000000001253	FALSE	FALSE	TRUE	1	1	1683	3	1	0	0	unbinned
mh_p110_000000001293	FALSE	TRUE	FALSE	6	2	18443	20	0	5	5	good MAG
mh_p110_000000001427	TRUE	FALSE	FALSE	3	1	4579	18	0	1	1	good MAG
mh_p110_000000001735	TRUE	FALSE	FALSE	6	2	15378	20	0	0	0	unbinned
mh_p110_000000002291	FALSE	FALSE	TRUE	3	2	18763	18	1	3	3	good MAG
mh_p110_000000002586	TRUE	TRUE	FALSE	2	1	5235	20	0	0	0	unbinned
mh_p110_000000002607	TRUE	FALSE	FALSE	4	1	5198	9	0	1	1	good MAG
mh_p110_000000002689	TRUE	FALSE	FALSE	8	3	26097	34	0	0	0	unbinned
mh_p110_000000002905	FALSE	TRUE	FALSE	5	1	8553	12	0	1	1	good MAG
mh_p110_000000002961	FALSE	TRUE	FALSE	3	1	3085	16	0	0	0	unbinned
mh_p110_000000003133	FALSE	FALSE	TRUE	5	1	3111	11	1	2	2	good MAG
mh_p110_000000003201	FALSE	TRUE	FALSE	4	1	6689	11	0	4	4	good MAG
mh_p110_000000003236	TRUE	FALSE	FALSE	7	3	7358	7	0	0	0	unbinned
mh_p110_000000003379	TRUE	FALSE	FALSE	1	1	5057	3	0	0	0	unbinned
mh_p110_000000003433	FALSE	TRUE	FALSE	1	1	7931	8	0	1	1	good MAG
mh_p110_000000003510	FALSE	TRUE	FALSE	2	1	7560	7	0	0	0	unbinned
mh_p110_000000003515	TRUE	FALSE	FALSE	2	1	56840	65	0	1	2	good MAG
mh_p110_000000004268	FALSE	TRUE	FALSE	3	1	9882	11	0	0	0	unbinned
mh_p110_000000004402	FALSE	TRUE	FALSE	3	1	5821	6	0	1	1	good MAG
mh_p110_000000004798	FALSE	FALSE	TRUE	1	1	1451	2	1	0	0	unbinned
mh_p110_000000004867	FALSE	TRUE	FALSE	2	1	8145	13	0	1	1	good MAG
mh_p110_000000004982	TRUE	FALSE	FALSE	5	2	12386	15	0	1	1	good MAG
mh_p110_000000005177	TRUE	FALSE	FALSE	7	2	6666	9	0	0	0	unbinned
mh_p110_000000005360	FALSE	TRUE	FALSE	4	2	9258	11	0	1	1	good MAG
mh_p110_000000005509	FALSE	TRUE	FALSE	2	1	6650	9	0	0	0	unbinned
mh_p110_000000005553	FALSE	FALSE	TRUE	3	1	7067	5	1	1	1	good MAG
